용산구,한강로동,1117062500,1117012400,16277,16491,16424,16463,18059,19209,19635,22097,23411,22886,22691,yes,용산,1
용산구,한남동,1117068500,1117013100,25038,24622,24324,23434,23705,23685,23704,23761,22941,22054,19911,yes,한남,0
성동구,왕십리제2동,1120052000,1120010200,17129,16812,16540,16917,18185,18148,17744,17416,16819,16688,16481,yes,상왕십리,0
성동구,마장동,1120054000,1120010500,25487,25148,25060,24569,24193,24157,24035,23459,22991,22706,22233,yes,마장,0
성동구,사근동,1120055000,1120010600,11745,12574,12947,12722,12812,13408,13543,13512,13505,14082,14141,yes,왕십리,2
성동구,행당제1동,1120056000,1120010700,17806,15553,15129,14708,14387,16728,16463,14363,14193,13996,13984,no,-1,-1
성동구,행당제2동,1120057000,1120010700,26767,26399,26124,25748,25423,25075,24640,24151,23376,23148,22933,no,-1,-1
성동구,응봉동,1120058000,1120010800,17370,17158,17019,16921,16696,16405,16188,15824,15458,15100,15000,yes,응봉,0
성동구,금호1가동,1120059000,1120010900,14823,14117,13780,13419,13191,16191,15954,15795,15315,15137,14841,no,-1,-1
성동구,금호4가동,1120062000,1120011200,15236,15004,14771,14557,14452,15488,15227,14842,14452,14228,14284,yes,금호,0
성동구,성수1가제1동,1120065000,1120011400,18161,17774,17557,17231,17676,17570,17168,16851,16814,16407,15681,yes,뚝섬,0
성동구,성수1가제2동,1120066000,1120011400,18537,18111,17486,17024,16413,15786,14735,13738,12874,12322,12134,yes,뚝섬,0
성동구,성수2가제1동,1120067000,1120011500,20951,20532,20080,19378,18783,18317,17722,17146,16279,15716,15079,yes,서울숲,1
성동구,성수2가제3동,1120069000,1120011500,12431,12434,12251,12142,12056,11915,11682,11457,10985,10520,10312,yes,서울숲,1
성동구,송정동,1120072000,1120011800,12538,12292,12063,12005,11987,11778,11428,11143,10915,10464,10131,yes,용답,0
성동구,용답동,1120079000,1120011800,17389,17358,17207,17059,16687,15659,13290,12724,12568,12551,13013,yes,용답,0
성동구,왕십리도선동,1120053500,1120010100,12993,16081,20808,22878,27582,27853,27767,27588,26910,26903,26739,no,-1,-1
성동구,금호2.3가동,1120061500,1120011000,23517,23056,22962,25038,24735,24467,24171,23584,22909,22423,22130,yes,신금호,0
성동구,옥수동,1120064500,1120011300,23688,23487,23281,24845,27453,27518,27222,26912,26309,25843,25650,yes,옥수,0
광진구,화양동,1121571000,1121510700,24293,24269,24419,24495,24610,24804,25537,25541,26034,27082,27645,yes,건대입구,0
광진구,군자동,1121573000,1121510900,22136,22189,22091,22048,21980,22029,22109,21903,21500,21524,21465,no,-1,-1
광진구,중곡제1동,1121574000,1121510100,17021,16648,16526,16342,16359,16500,16287,16190,15862,15663,15691,yes,중곡,0
광진구,중곡제2동,1121575000,1121510100,23156,22633,22610,22877,22808,22699,22564,22285,21739,21336,20882,yes,중곡,0
광진구,중곡제3동,1121576000,1121510100,18843,18475,18120,17960,17992,17843,17315,16902,16357,16177,16008,yes,중곡,0
