구/군,동,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,지하철역 개수
북구,국우동,"26,968","26,780","26,732","26,201","25,394","25,008","24,506","24,086","28,537","30,430","30,883",2
동구,신암동,"53,135","52,253","51,607","50,328","49,514","48,186","45,380","43,144","41,064","40,287","47,416",3
동구,신천1.2동,"14,884","14,906","14,748","14,452","14,094","13,806","13,632","13,210","12,925","12,487","11,915",0
동구,신천3동,"13,157","12,513","12,186","12,020","11,760","13,126","12,776","12,460","11,702","14,557","14,500",1
동구,신천4동,"9,381","9,181","9,588","9,407","9,064","8,324","7,738","7,492","7,736","8,318","8,045",0
동구,효목1동,"16,348","15,977","15,729","15,282","14,836","14,619","14,518","14,171","13,742","13,200","12,485",0
동구,효목2동,"17,227","16,921","16,701","16,236","15,934","15,686","15,312","14,038","13,254","12,763","13,330",0
동구,도평동,"5,390","5,280","5,059","4,818","4,539","4,440","4,299","4,183","4,005","3,899","3,769",0
동구,불로.봉무동,"17,971","25,042","25,562","25,738","25,861","27,311","27,203","21,729","21,335","20,990","20,469",0
동구,지저동,"11,583","11,120","10,872","10,804","10,838","10,537","10,447","14,949","14,472","14,072","13,489",0
동구,동촌동,"14,232","14,172","15,568","15,570","15,523","16,285","16,294","15,919","15,616","15,273","14,805",1
동구,방촌동,"21,276","20,753","20,536","19,957","19,623","19,133","18,918","18,274","18,792","18,472","17,835",2
동구,해안동,"18,377","17,948","17,476","16,848","16,479","16,046","15,669","15,214","15,104","14,851","14,246",0
동구,안심1동,"43,802","45,416","45,832","45,608","45,009","44,903","44,395","43,500","42,284","41,269","39,308",2
동구,안심2동,"10,649","10,604","10,509","11,236","10,930","10,625","10,423","11,343","11,009","11,488","15,243",2
동구,안심3.4동,"50,199","51,073","54,581","61,034","64,426","68,890","69,351","48,360","50,609","50,193","48,336",4
동구,공산동,"16,367","15,927","15,809","15,547","15,364","15,032","14,911","17,968","21,733","21,436","20,852",0
달서구,성당동,"26,909","26,892","26,410","25,985","25,409","25,032","24,727","24,153","23,255","22,636","21,827",0
달서구,두류동,"29,172","28,902","28,870","28,498","28,204","27,923","27,337","26,800","26,491","26,125","26,934",2
달서구,감삼동,"30,157","29,779","29,573","28,746","28,377","28,016","27,933","27,706","26,706","28,272","29,513",2
달서구,죽전동,"16,901","16,887","16,585","16,134","15,512","15,376","14,883","14,018","13,595","12,981","12,740",1
달서구,장기동,"18,759","18,538","17,937","17,792","17,302","16,959","17,776","17,625","17,148","16,674","16,089",0
달서구,용산동,"70,185","69,569","69,259","68,069","67,040","66,571","66,037","65,329","64,666","63,549","62,577",2
달서구,이곡동,"46,738","46,481","46,179","45,415","44,803","44,607","44,161","44,047","43,820","43,202","42,551",1
달서구,신당동,"37,761","37,183","36,315","34,898","33,369","32,671","31,899","31,942","31,686","30,916","29,643",2
달서구,본리동,"24,750","24,774","24,529","23,766","22,834","22,546","22,238","22,109","20,954","19,804","19,461",0
달서구,월성1동,"40,184","42,292","42,527","44,798","45,046","44,641","44,400","43,862","37,401","40,251","40,830",0
달서구,월성2동,"20,372","19,893","19,307","18,595","18,026","17,522","16,954","16,489","15,954","15,221","14,641",0
달서구,진천동,"61,411","61,286","64,455","68,272","68,207","73,138","77,603","76,898","83,435","85,251","85,419",2
달서구,상인1동,"44,917","44,655","43,946","42,514","41,924","41,061","40,396","39,385","36,263","34,889","34,251",1
달서구,상인2동,"24,589","24,170","23,657","21,445","20,726","20,148","20,217","20,272","19,826","18,970","18,310",0
달서구,상인3동,"14,853","14,459","13,832","13,310","12,648","12,218","11,824","11,472","11,167","10,781","10,319",0
달서구,도원동,"41,122","40,709","41,556","40,550","39,688","38,449","37,328","36,436","35,557","34,323","33,289",0
달서구,송현동,"45,939","45,506","45,058","44,451","43,714","43,151","42,153","41,676","41,332","40,633","39,873",3
달서구,본동,"15,639","15,583","15,316","14,661","14,221","14,090","13,609","13,065","12,390","11,880","12,366",0
남구,이천동,"15,171","14,892","14,633","14,339","14,050","13,652","12,971","12,358","12,062","11,548","12,795",2
남구,봉덕1동,"10,085","9,910","9,784","9,458","9,160","9,352","9,295","9,285","9,158","8,832","8,418",0
남구,봉덕2동,"13,078","12,726","12,534","11,951","11,046","10,849","10,976","12,072","12,582","12,070","12,871",0
남구,봉덕3동,"18,615","18,095","17,757","17,175","16,727","16,418","17,103","17,249","16,654","15,944","15,305",0
남구,대명동,"109,113","107,653","106,100","103,601","102,232","100,653","98,300","96,277","93,639","94,575","91,828",7
달성군,화원읍,"54,474","53,726","52,386","50,323","50,511","50,471","49,433","48,166","47,025","46,795","46,661",2
달성군,논공읍,"23,229","23,086","21,831","19,765","18,862","18,376","17,862","17,395","16,763","16,306","15,524",0
달성군,다사읍,"62,928","63,138","63,440","72,522","82,549","83,996","83,702","83,467","83,168","84,773","84,108",3
달성군,유가읍,"2,542","2,674","6,987","21,107","26,604","29,512","29,952","29,713","29,542","29,358","30,629",0
달성군,옥포읍,"10,448","10,260","13,936","17,361","22,249","23,326","24,292","25,337","25,232","24,576","23,908",0
달성군,현풍읍,"10,559","11,337","13,670","17,113","20,285","20,915","22,784","23,310","23,050","22,901","22,110",0
달성군,가창면,"8,360","8,361","8,483","8,282","8,191","8,076","8,073","7,972","7,783","7,662","7,329",0
달성군,하빈면,"4,378","4,349","4,360","4,202","4,012","3,864","3,772","3,702","3,596","3,465","3,353",0
달성군,구지면,"7,440","7,705","7,503","6,571","8,480","9,190","9,271","13,263","18,950","19,609","19,380",0
군위군,군위읍,"8,063","8,193","8,428","8,387","8,433","8,447","8,413","8,193","8,161","8,275","8,069",0
군위군,소보면,"2,476","2,458","2,395","2,438","2,402","2,328","2,307","2,317","2,253","2,296","2,317",0
군위군,효령면,"3,992","3,981","3,962","3,987","3,966","3,874","3,837","3,768","3,753","3,821","3,750",0
군위군,부계면,"2,063","2,056","2,046","2,034","1,982","1,989","2,042","2,042","2,011","2,093","2,094",0
군위군,우보면,"2,173","2,139","2,067","2,106","2,220","2,150","2,134","2,007","1,933","1,971","1,939",0
군위군,의흥면,"2,780","2,725","2,648","2,623","2,610","2,502","2,495","2,385","2,356","2,365","2,317",0
군위군,산성면,"1,298","1,312","1,262","1,258","1,275","1,269","1,250","1,189","1,182","1,211","1,188",0
군위군,삼국유사면,"1,327","1,306","1,318","1,338","1,327","1,360","1,365","1,355","1,296","1,308","1,314",0
